Incident Number,Incident Types,Reported Date,Nearest Populated Centre,Province,Company,Substance,Significant,What Happened Category
INC2009-087,Release of Substance,09/02/2009,Zama Lake,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Corrosion and Cracking
INC2009-090,Release of Substance,09/04/2009,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Fuel Gas,No,Equipment Failure
INC2009-092,Fire,09/10/2009,Edmonton,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Equipment Failure
INC2009-101,Fire,09/17/2009,Strome,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,External Interference
INC2009-102,Release of Substance,09/18/2009,Fairview,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Defect and Deterioration
INC2009-104,Release of Substance,09/20/2009,Not specified,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,Yes,External Interference
INC2009-118,Release of Substance,10/20/2009,Hanna,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Equipment Failure
INC2009-119,Fire,10/22/2009,Camrose,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Equipment Failure
INC2009-120,Release of Substance,10/23/2009,Edson,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Equipment Failure
INC2009-126,Release of Substance,11/04/2009,Fairview,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Defect and Deterioration
INC2009-140,Fire,12/16/2009,Drayton Valley,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Equipment Failure
INC2009-141,Operation Beyond Design Limits,12/11/2009,Olds,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Incorrect Operation
INC2009-144,Operation Beyond Design Limits,12/17/2009,Tieland,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Incorrect Operation
INC2009-145,Release of Substance,12/17/2009,Topland,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sour,Yes,Equipment Failure
INC2009-147,Operation Beyond Design Limits,01/04/2010,Rainbow Lake,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Equipment Failure
INC2009-149,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Equipment Failure
INC2009-150,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Equipment Failure
INC2009-151,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Equipment Failure
INC2009-152,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Equipment Failure
INC2010-001,Release of Substance,01/06/2010,Fort St. John,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,Yes,Equipment Failure
INC2010-004,Adverse Environmental Effects,01/08/2010,Red Earth Creek,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,Yes,Incorrect Operation
INC2010-005,Operation Beyond Design Limits,01/16/2010,High Level,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Equipment Failure
INC2010-012,Release of Substance,01/31/2010,Not specified,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Defect and Deterioration
INC2010-013,Operation Beyond Design Limits,02/01/2010,Not specified,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,"External Interference, Incorrect Operation"
INC2010-014,Fire,02/01/2010,Hardisty,Alberta,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,No,Equipment Failure
INC2010-016,Release of Substance,02/08/2010,Not specified,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Corrosion and Cracking
INC2010-021,Release of Substance,02/12/2010,Grovedale,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Equipment Failure
INC2010-028,Release of Substance,02/26/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Crude Oil - Sweet,No,Defect and Deterioration
INC2010-032,Release of Substance,03/03/2010,Fox Creek,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Defect and Deterioration
INC2010-033,Release of Substance,03/12/2010,Not specified,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Corrosion and Cracking
INC2010-040,Fire,03/26/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Equipment Failure
INC2010-041,Fire,03/27/2010,Manning,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Defect and Deterioration
INC2010-050,Fire,05/11/2010,Sundre,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,"Incorrect Operation, Other Causes"
INC2010-051,Release of Substance,05/22/2010,Manning,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Equipment Failure
INC2010-053,Release of Substance,05/27/2010,Brooks,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Defect and Deterioration
INC2010-055,Release of Substance,06/03/2010,Fox Creek,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Equipment Failure
INC2010-058,Release of Substance,06/16/2010,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Corrosion and Cracking
INC2010-062,Release of Substance,06/24/2010,Whitecourt,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Defect and Deterioration
INC2010-066,Release of Substance,07/08/2010,Vegreville,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Corrosion and Cracking
INC2010-089,Release of Substance,08/16/2010,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Defect and Deterioration
INC2010-090,Release of Substance,08/18/2010,Beiseker,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,"Defect and Deterioration, External Interference"
INC2010-096,Release of Substance,09/07/2010,Carstairs,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Defect and Deterioration
INC2010-097,Release of Substance,09/08/2010,Whitecourt,Alberta,Alliance Pipeline Ltd.,Natural Gas - Sweet,No,"Defect and Deterioration, Equipment Failure"
INC2010-098,Release of Substance,09/11/2010,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Equipment Failure
INC2010-102,Operation Beyond Design Limits,09/21/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Equipment Failure
INC2010-104,Release of Substance,09/23/2010,Enchant,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Defect and Deterioration
INC2010-105,Release of Substance,09/29/2010,Spirit River,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Corrosion and Cracking
INC2010-111,Release of Substance,10/07/2010,Fox Creek,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Defect and Deterioration
INC2010-121,Release of Substance,11/01/2010,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Defect and Deterioration
INC2010-124,Operation Beyond Design Limits,11/05/2010,Gordondale,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,External Interference
INC2010-128,Release of Substance,11/17/2010,Grovedale,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Equipment Failure
INC2010-139,Operation Beyond Design Limits,11/24/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Equipment Failure
INC2010-145,Release of Substance,12/01/2010,Hanna,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,"Defect and Deterioration, Equipment Failure"
INC2010-149,Operation Beyond Design Limits,12/03/2010,Hardisty,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Equipment Failure
INC2010-158,Fire,12/17/2010,Hardisty,Alberta,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,No,"Equipment Failure, External Interference"
INC2010-159,Release of Substance,12/17/2010,Fox Creek,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Defect and Deterioration
INC2010-164,Release of Substance,12/22/2010,Jarvie,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Equipment Failure
INC2010-167,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Equipment Failure
INC2010-168,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Equipment Failure
INC2010-169,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Equipment Failure
INC2010-170,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Equipment Failure
INC2010-171,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Equipment Failure
INC2010-172,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Equipment Failure
INC2010-173,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Equipment Failure
INC2010-174,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Equipment Failure
INC2010-175,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Equipment Failure
INC2010-176,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Equipment Failure
INC2010-177,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Equipment Failure
INC2011-003,Fire,01/09/2011,Grande Prairie,Alberta,Alliance Pipeline Ltd.,Not Applicable,No,"External Interference, Incorrect Operation"
INC2011-011,Release of Substance,01/31/2011,Slave Lake,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Equipment Failure
INC2011-014,Fire,02/02/2011,Neutral Hills,Alberta,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,No,Equipment Failure
INC2011-019,Fire,02/08/2011,Neutral Hills,Alberta,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,No,Equipment Failure
INC2011-030,Release of Substance,02/20/2011,Rainbow Lake,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Equipment Failure
INC2011-035,Fire,03/02/2011,Fort McMurray,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Incorrect Operation
INC2011-036,Release of Substance,03/02/2011,Hanna,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Equipment Failure
INC2011-042,Release of Substance,03/13/2011,Rosebud,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Defect and Deterioration
INC2011-054,Fatality,04/01/2011,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,Yes,Incorrect Operation
INC2011-059,Release of Substance,04/06/2011,Hardisty,Alberta,Enbridge Pipelines Inc.,Natural Gas Liquids,No,Corrosion and Cracking
INC2011-064,Release of Substance,04/21/2011,Zama Lake,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Equipment Failure
INC2011-065,Release of Substance,04/22/2011,Chip Lake,Alberta,Trans Mountain Pipeline ULC,Crude Oil - Sweet,Yes,To be determined
INC2011-068,Fire,04/28/2011,Czar,Alberta,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,No,Equipment Failure
INC2011-073,Release of Substance,05/07/2011,Edson,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Natural Force Damage
INC2011-085,Release of Substance,05/27/2011,Pincher Creek,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Corrosion and Cracking
INC2011-095,Operation Beyond Design Limits,06/21/2011,Hardisty,Alberta,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,No,"Defect and Deterioration, Equipment Failure"
INC2011-104,Release of Substance,06/30/2011,Red Deer,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,External Interference
INC2011-105,Fire,07/07/2011,Edson,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Equipment Failure
INC2011-119,Fire,08/06/2011,Consort,Alberta,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,No,External Interference
INC2011-120,Fire,08/06/2011,Oyen,Alberta,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,No,External Interference
INC2011-127,Release of Substance,08/16/2011,Meanook,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Defect and Deterioration
INC2011-132,Fire,08/22/2011,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,"External Interference, Incorrect Operation"
INC2011-133,Fire,08/23/2011,Manning,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,"Equipment Failure, Incorrect Operation"
INC2011-135,Release of Substance,08/31/2011,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Corrosion and Cracking
INC2011-138,Release of Substance,09/02/2011,Wabasca,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Equipment Failure
INC2011-146,Fire,09/10/2011,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Incorrect Operation
INC2011-154,Release of Substance,09/28/2011,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Defect and Deterioration
INC2011-166,Release of Substance,10/26/2011,Rosemary,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Equipment Failure
INC2011-171,Release of Substance,11/20/2011,Whitecourt,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Equipment Failure
INC2011-172,Release of Substance,11/20/2011,Donnelly,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Equipment Failure
INC2011-179,Release of Substance,12/06/2011,Amisk,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Corrosion and Cracking
INC2012-004,Operation Beyond Design Limits,01/07/2012,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Other Causes
INC2012-010,Release of Substance,01/18/2012,Manning,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Equipment Failure
INC2012-011,Fire,01/20/2012,Prespatou,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Incorrect Operation
INC2012-013,Fire,01/19/2012,Assumption,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,External Interference
INC2012-015,Fire,01/21/2012,Manning,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Incorrect Operation
INC2012-018,Fire,01/25/2012,Cheecham,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,External Interference
INC2012-020,Serious Injury (CER or TSB),01/27/2012,Cheecham,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,Yes,Incorrect Operation
INC2012-022,"Fire, Release of Substance",02/03/2012,Cheecham,Alberta,NOVA Gas Transmission Ltd.,Mixed HVP Hydrocarbons,No,External Interference
INC2012-038,Release of Substance,02/29/2012,Athabasca,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Equipment Failure
INC2012-041,Release of Substance,03/02/2012,Spirit River,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Corrosion and Cracking
INC2012-044,Operation Beyond Design Limits,03/13/2012,Edmonton,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Other Causes
INC2012-048,Release of Substance,03/29/2012,Whitburn,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Incorrect Operation
INC2012-053,Fire,04/23/2012,Edmonton,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,"External Interference, Incorrect Operation"
INC2012-059,Release of Substance,05/08/2012,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Corrosion and Cracking
INC2012-061,Release of Substance,05/09/2012,Valleyview,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Equipment Failure
INC2012-064,Release of Substance,05/15/2012,Medicine Hat,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Equipment Failure
INC2012-067,Fire,05/28/2012,Fox Creek,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,External Interference
INC2012-068,Release of Substance,05/30/2012,Manning,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Corrosion and Cracking
INC2012-069,Operation Beyond Design Limits,05/31/2012,Edson,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Incorrect Operation
INC2012-072,Fire,06/08/2012,Hardisty,Alberta,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,No,Incorrect Operation
INC2012-080,Explosion,06/28/2012,Fort McMurray,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Defect and Deterioration
INC2012-083,Explosion,07/04/2012,Paddle Prairie,Alberta,TransCanada PipeLines Limited,Not Applicable,No,Defect and Deterioration
INC2012-084,Explosion,07/04/2012,Fox Creek,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Defect and Deterioration
INC2012-086,Release of Substance,07/11/2012,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Corrosion and Cracking
INC2012-088,Fire,02/02/2012,Rocky Mountain House,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Incorrect Operation
INC2012-090,Explosion,07/16/2012,Manning,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Defect and Deterioration
INC2012-093,Explosion,07/26/2012,Lodgepole,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Defect and Deterioration
INC2012-106,Fire,08/16/2012,Rainbow Lake,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,External Interference
INC2012-111,Release of Substance,08/22/2012,Airdrie,Alberta,TransCanada PipeLines Limited,Natural Gas - Sweet,No,Equipment Failure
INC2012-115,Release of Substance,08/27/2012,Elmworth,Alberta,Burlington Resources Canada (Hunter) Ltd.,Natural Gas - Sweet,No,Corrosion and Cracking
INC2012-128,"Explosion, Fire",09/21/2012,Drayton Valley,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Defect and Deterioration
INC2012-130,Operation Beyond Design Limits,09/26/2012,Hardisty,Alberta,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,No,Equipment Failure
INC2012-134,Operation Beyond Design Limits,09/28/2012,Hinton,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,"External Interference, Incorrect Operation"
INC2012-139,Operation Beyond Design Limits,10/03/2012,Hines Creek,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Incorrect Operation
INC2012-140,Release of Substance,10/04/2012,Rosemary,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Corrosion and Cracking
INC2012-142,Fire,10/05/2012,Caroline,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Incorrect Operation
INC2012-146,Operation Beyond Design Limits,10/22/2012,Swan Hill,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Equipment Failure
INC2012-151,Release of Substance,10/29/2012,Slave Lake,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Equipment Failure
INC2012-153,Release of Substance,11/01/2012,Not specified,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Equipment Failure
INC2012-155,Fire,11/12/2012,Manning,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,External Interference
INC2012-157,Release of Substance,11/15/2012,Fox Creek,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Corrosion and Cracking
INC2012-171,Serious Injury (CER or TSB),12/15/2012,Edmonton,Alberta,Enbridge Pipelines Inc.,Not Applicable,Yes,"External Interference, Incorrect Operation"
INC2012-174,Fire,12/29/2012,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Equipment Failure
INC2012-176,Operation Beyond Design Limits,02/27/2012,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Other Causes
INC2012-177,Operation Beyond Design Limits,02/27/2012,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Other Causes
INC2012-178,Operation Beyond Design Limits,02/27/2012,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Other Causes
INC2012-179,Operation Beyond Design Limits,02/27/2012,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Other Causes
INC2012-180,Operation Beyond Design Limits,02/27/2012,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Other Causes
INC2012-181,Operation Beyond Design Limits,02/27/2012,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Other Causes
INC2012-182,Operation Beyond Design Limits,02/27/2012,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Other Causes
INC2012-183,Operation Beyond Design Limits,02/27/2012,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Other Causes
INC2012-184,Operation Beyond Design Limits,02/27/2012,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Other Causes
INC2012-185,Operation Beyond Design Limits,02/27/2012,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Other Causes
INC2012-186,Operation Beyond Design Limits,02/27/2012,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Other Causes
INC2012-187,Operation Beyond Design Limits,02/27/2012,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Other Causes
INC2012-188,Operation Beyond Design Limits,02/27/2012,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Other Causes
INC2012-189,Operation Beyond Design Limits,02/27/2012,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Other Causes
INC2012-190,Operation Beyond Design Limits,02/27/2012,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Other Causes
INC2012-191,Operation Beyond Design Limits,02/27/2012,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Other Causes
INC2012-192,Operation Beyond Design Limits,02/27/2012,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Other Causes
INC2012-193,Operation Beyond Design Limits,02/27/2012,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Other Causes
INC2012-194,Operation Beyond Design Limits,02/27/2012,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Other Causes
INC2012-195,Operation Beyond Design Limits,02/27/2012,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Other Causes
INC2012-196,Operation Beyond Design Limits,02/27/2012,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Other Causes
INC2012-197,Operation Beyond Design Limits,02/27/2012,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Other Causes
INC2012-198,Operation Beyond Design Limits,02/27/2012,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Other Causes
INC2012-199,Operation Beyond Design Limits,02/27/2012,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Other Causes
INC2012-200,Operation Beyond Design Limits,02/27/2012,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Other Causes
INC2012-201,Operation Beyond Design Limits,02/27/2012,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Other Causes
INC2012-202,Operation Beyond Design Limits,02/27/2012,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Not Applicable,No,Other Causes
INC2013-010,Release of Substance,01/25/2013,Manning,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Equipment Failure
INC2013-012,Release of Substance,01/26/2013,Whitecourt,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Corrosion and Cracking
INC2013-024,Release of Substance,02/10/2013,Fort McMurray,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Corrosion and Cracking
INC2013-025,Fire,02/12/2013,Vegreville,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,External Interference
INC2013-028,Release of Substance,02/14/2013,Slave Lake,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,To be determined
INC2013-030,Release of Substance,02/19/2013,Redcliff,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,No,Equipment Failure
INC2013-044,Fire,03/16/2013,Hamburg,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,No,Incorrect Operation
INC2013-047,Operation Beyond Design Limits,03/18/2013,Hardisty,Alberta,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,No,External Interference
INC2013-053,Release of Substance,04/01/2013,Edson,Alberta,Alliance Pipeline Ltd.,Natural Gas - Sweet,No,"Defect and Deterioration, External Interference"
